StateCode,Year,FFTCB(TOTAL),CLTCB(COAL),NNTCB(NATURALGAS),PMTCB(PETROLEUM)
AK,1960,54634,7189,2034,45411
AK,1961,64860,11552,2300,51009
AK,1962,71359,13559,4048,53752
AK,1963,72995,11999,5567,55429
AK,1964,76965,12029,6805,58130
AK,1965,79263,9888,7670,61705
AK,1966,94370,16431,12282,65658
AK,1967,106714,18462,11889,76363
AK,1968,114046,15998,17636,80412
AK,1969,148179,13191,42940,92048
AK,1970,173208,13159,64045,96004
AK,1971,191875,14121,68045,109708
AK,1972,205710,12753,75032,117926
AK,1973,189126,13286,63703,112137
AK,1974,193166,12485,63188,117493
AK,1975,223578,15271,85175,123133
AK,1976,245473,13706,90571,141196
AK,1977,282083,10259,116859,154964
AK,1978,313248,4689,145025,163533
AK,1979,289049,4182,157236,127631
AK,1980,287436,4310,153805,129321
AK,1981,270456,12521,122214,135721
AK,1982,400327,13182,237881,149264
AK,1983,428046,12403,239678,175964
AK,1984,471746,12883,258039,200824
AK,1985,462656,11587,214042,237028
AK,1986,493552,12150,208311,273092
AK,1987,487215,4330,251512,231373
AK,1988,508643,4362,288798,215483
AK,1989,557853,4719,321207,231926
AK,1990,565723,12387,326826,226510
AK,1991,585301,12675,367952,204675
AK,1992,608935,12509,383887,212539
AK,1993,603147,13630,375971,213546
AK,1994,599565,12578,367592,219395
AK,1995,681024,12882,432813,235329
AK,1996,696876,11152,443629,242095
AK,1997,693234,11719,425394,256122
AK,1998,709668,16471,434437,258761
AK,1999,714792,16394,422817,275581
AK,2000,729758,16455,437972,275331
AK,2001,718377,15911,413049,289417
AK,2002,714712,16429,420808,277476
AK,2003,713898,12552,415891,285455
AK,2004,756177,14075,407944,334158
AK,2005,781037,13994,434704,332339
AK,2006,732217,14981,375719,341517
AK,2007,708054,13662,372186,322206
AK,2008,635787,14705,343938,277143
AK,2009,622050,14505,343971,263575
AK,2010,634764,14548,334978,285237
AK,2011,635951,15481,339819,280652
AK,2012,629726,15521,347228,266978
AK,2013,596341,14819,332631,248891
AK,2014,581901,18225,329274,234402
AK,2015,598233,19511,337112,241609
AL,1960,822372,395400,190706,236266
AL,1961,806612,382455,191533,232625
AL,1962,868157,427177,201250,239730
AL,1963,905988,442465,211348,252175
AL,1964,946394,459000,230316,257078
AL,1965,1032354,533142,236949,262263
AL,1966,1097051,583457,240755,272839
AL,1967,1119607,580163,262055,277389
AL,1968,1221648,618335,296690,306623
AL,1969,1289679,641466,310822,337392
AL,1970,1335524,675603,307750,352170
AL,1971,1286000,626054,294838,365107
AL,1972,1362122,669734,287100,405288
AL,1973,1419323,688650,279958,450714
AL,1974,1412244,653405,282454,476384
AL,1975,1399787,640063,271747,487977
AL,1976,1397905,632096,232758,533051
AL,1977,1451879,629412,248715,573751
AL,1978,1400526,577580,244969,577978
AL,1979,1453286,670208,291485,491593
AL,1980,1389912,661023,278342,450546
AL,1981,1355609,629957,281022,444631
AL,1982,1204984,511059,253391,440534
AL,1983,1178279,532596,229993,415690
AL,1984,1239846,584607,239598,415641
AL,1985,1300824,662890,227780,410154
AL,1986,1296154,660525,210226,425403
AL,1987,1336119,660678,214611,460829
AL,1988,1359726,652717,243192,463817
AL,1989,1423726,682145,253577,488004
AL,1990,1417626,682496,252128,483003
AL,1991,1472050,723921,261476,486653
AL,1992,1555729,775653,287947,492128
AL,1993,1614204,812948,302250,499007
AL,1994,1599852,773804,299250,526798
AL,1995,1697960,828277,332399,537284
AL,1996,1768131,890742,337764,539624
AL,1997,1730236,867264,337431,525541
AL,1998,1717751,856479,341973,519299
AL,1999,1752758,866512,349076,537170
AL,2000,1833286,904181,368472,560633
AL,2001,1722132,842337,344004,535791
AL,2002,1799200,845999,389965,563236
AL,2003,1796405,873735,360483,562188
AL,2004,1856239,853917,391927,610394
AL,2005,1860797,890098,363398,607301
AL,2006,1900475,886678,402044,611753
AL,2007,1921281,888436,430649,602196
AL,2008,1824747,842826,414260,567660
AL,2009,1616408,630969,466272,519168
AL,2010,1785662,718684,544405,522573
AL,2011,1783785,651032,609288,523466
AL,2012,1740233,547004,677380,515849
AL,2013,1689479,565051,625869,498559
AL,2014,1723014,575912,650570,496531
AL,2015,1713999,494311,696411,523277
AR,1960,371044,356,222202,148486
AR,1961,375865,275,215311,160279
AR,1962,402264,160,235477,166628
AR,1963,426368,135,252846,173387
AR,1964,463730,186,278852,184692
AR,1965,457215,163,277661,179391
AR,1966,484656,111,289632,194913
AR,1967,495912,104,295756,200052
AR,1968,541582,132,321569,219881
AR,1969,587086,0,349990,237096
AR,1970,630225,0,383478,246746
AR,1971,604146,51,334979,269116
AR,1972,629107,50,317640,311417
AR,1973,682640,2262,327475,352902
AR,1974,647134,2665,290102,354366
AR,1975,599813,862,257445,341506
AR,1976,631980,3578,248194,380208
AR,1977,664291,5244,234379,424669
AR,1978,665018,22833,220898,421287
AR,1979,645767,31728,255010,359029
AR,1980,610574,36648,273987,299939
AR,1981,656156,101935,265043,289178
AR,1982,634365,125193,227389,281783
AR,1983,674066,177458,211726,284882
AR,1984,641906,163879,214432,263595
AR,1985,682991,219791,199350,263850
AR,1986,691171,224547,202982,263643
AR,1987,646760,211011,172340,263409
AR,1988,714267,218821,218787,276659
AR,1989,729945,203343,251139,275463
AR,1990,713222,212707,234465,266051
AR,1991,690739,215945,212680,262115
AR,1992,719103,220706,226598,271799
AR,1993,718112,200450,232682,284981
AR,1994,767304,222169,247187,297948
AR,1995,816648,237334,271956,307358
AR,1996,844346,260060,274991,309295
AR,1997,831697,246786,264019,320891
AR,1998,849555,254658,272888,322009
AR,1999,875812,267022,257666,351123
AR,2000,882085,267579,256114,358392
AR,2001,859692,273982,231590,354120
AR,2002,859994,255242,247899,356854
AR,2003,865888,253653,254571,357665
AR,2004,849511,270210,217921,361380
AR,2005,822384,247169,216600,358614
AR,2006,856790,256907,240885,358998
AR,2007,864991,275037,229610,360344
AR,2008,873000,278849,238424,355727
AR,2009,848957,264083,248100,336774
AR,2010,909803,293689,274774,341341
AR,2011,932832,306119,288906,337807
AR,2012,918015,296732,300572,320710
AR,2013,938466,327099,288045,323322
AR,2014,940103,339214,273009,327880
AR,2015,838827,226889,296742,315196
AZ,1960,261910,210,140275,121426
AZ,1961,286116,211,159093,126812
AZ,1962,305529,6291,163461,135778
AZ,1963,322246,8432,169533,144282
AZ,1964,331235,9103,174623,147509
AZ,1965,318872,7030,166063,145778
AZ,1966,341080,7373,174448,159259
AZ,1967,344236,7184,169085,167967
AZ,1968,386730,8137,189965,188628
AZ,1969,420086,8381,210332,201372
AZ,1970,426321,8623,204383,213315
AZ,1971,456013,8876,225898,221239
AZ,1972,509993,7523,241355,261115
AZ,1973,562130,9927,226325,325878
AZ,1974,579109,48359,204955,325795
AZ,1975,563589,92449,164346,306795
AZ,1976,627537,139960,180181,307396
AZ,1977,707488,179847,176449,351192
AZ,1978,703765,159980,186366,357419
AZ,1979,772665,246230,180580,345855
AZ,1980,720320,244994,173970,301356
AZ,1981,796136,319438,192208,284490
AZ,1982,757090,336245,142323,278523
AZ,1983,705081,295442,120418,289221
AZ,1984,763697,324862,126844,311990
AZ,1985,796491,342013,137315,317164
AZ,1986,735674,295888,105103,334683
AZ,1987,746189,282882,121301,342006
AZ,1988,785400,309041,128594,347765
AZ,1989,857319,353144,151468,352707
AZ,1990,821494,343415,130781,347299
AZ,1991,830159,347261,128178,354720
AZ,1992,868850,369743,133771,365336
AZ,1993,887986,389839,118159,379989
AZ,1994,930683,402390,139733,388560
AZ,1995,879167,342889,127945,408333
AZ,1996,898554,342839,125265,430450
AZ,1997,938073,369872,137588,430613
AZ,1998,1016590,386770,161086,468734
AZ,1999,1066187,403262,167770,495155
AZ,2000,1144386,432810,208137,503439
AZ,2001,1183282,424023,244424,514835
AZ,2002,1188639,406479,255247,526913
AZ,2003,1219677,406537,275650,537490
AZ,2004,1340408,425413,356264,558730
AZ,2005,1332032,428445,329302,574285
