StateCode,Year,RETCB(TOAL),EMTCB(ETHONAL),GETCB(GEOTHERMAL),HYTCB(HYDRO),SOTCB(SOLAR),WYTCB(WIND),WWTCB(WOODWASTE)
AK,1960,6800,0,0,3120,0,0,3681
AK,1961,7313,0,0,3168,0,0,4145
AK,1962,7453,0,0,3207,0,0,4246
AK,1963,7793,0,0,3410,0,0,4383
AK,1964,8102,0,0,3374,0,0,4728
AK,1965,8519,0,0,3655,0,0,4863
AK,1966,8328,0,0,3293,0,0,5035
AK,1967,8457,0,0,3786,0,0,4671
AK,1968,8486,0,0,3781,0,0,4705
AK,1969,8455,0,0,3562,0,0,4893
AK,1970,8835,0,0,3806,0,0,5029
AK,1971,9094,0,0,3807,0,0,5287
AK,1972,8673,0,0,3594,0,0,5079
AK,1973,7844,0,0,2973,0,0,4871
AK,1974,8329,0,0,3407,0,0,4922
AK,1975,8608,0,0,3713,0,0,4894
AK,1976,9201,0,0,3978,0,0,5224
AK,1977,11449,0,0,5343,0,0,6106
AK,1978,10809,0,0,4889,0,0,5920
AK,1979,10733,0,0,4747,0,0,5986
AK,1980,8321,0,0,5599,0,0,2723
AK,1981,9216,0,0,6171,0,0,3046
AK,1982,8745,0,0,5870,0,0,2875
AK,1983,9591,0,0,6243,0,0,3348
AK,1984,11152,0,0,7235,0,0,3917
AK,1985,11783,0,0,7816,0,0,3967
AK,1986,10707,1,0,8448,0,0,2258
AK,1987,12004,3,0,9080,0,0,2920
AK,1988,12761,2,0,9658,0,0,3102
AK,1989,18342,0,51,9102,1,0,9188
AK,1990,18357,0,51,10137,1,0,8169
AK,1991,17357,0,51,9352,1,0,7954
AK,1992,18300,0,51,9495,1,0,8753
AK,1993,20551,0,51,13433,1,0,7067
AK,1994,23590,3,51,13879,1,0,9656
AK,1995,23142,636,51,14149,1,0,8305
AK,1996,21915,728,51,13089,1,0,8046
AK,1997,15583,589,51,11224,1,0,3719
AK,1998,13638,347,51,11353,0,0,1886
AK,1999,10605,392,86,8351,0,0,1775
AK,2000,12375,171,86,10220,0,0,1898
AK,2001,17439,465,86,13905,0,10,2973
AK,2002,18257,335,86,14643,0,0,3193
AK,2003,19598,224,89,16023,0,0,3261
AK,2004,18857,441,88,15004,0,0,3324
AK,2005,16659,792,90,14638,0,6,1133
AK,2006,14095,797,87,12137,0,8,1065
AK,2007,15011,974,87,12762,0,10,1177
AK,2008,14629,1717,130,11547,2,1,1233
AK,2009,17639,1954,151,12920,3,69,2543
AK,2010,18439,1916,153,13982,3,123,2262
AK,2011,17650,1925,214,13066,3,121,2322
AK,2012,19565,1882,186,14988,3,356,2150
AK,2013,20439,1826,186,13696,3,1386,3341
AK,2014,21845,2062,186,14633,3,1445,3515
AK,2015,21658,2476,186,14621,3,1488,2883
AL,1960,112809,0,0,67128,0,0,45681
