StateCode,Year,ABICB,ABICP,ARICB,ARICP,ARTCB,ARTCP,ARTXB,ARTXP,AVACB,AVACP,AVTCB,AVTCP,AVTXB,AVTXP,BMTCB,CLACB,CLACP,CLCCB,CLCCP,CLEIB,CLEIP,CLICB,CLICP,CLKCB,CLKCP,CLOCB,CLOCP,CLPRB,CLPRP,CLRCB,CLRCP,CLTCB,CLTCP,CLTXB,CLTXP,COICB,COICP,DFACB,DFACP,DFCCB,DFCCP,DFEIB,DFEIP,DFICB,DFICP,DFRCB,DFRCP,DFTCB,DFTCP,DFTXB,DFTXP,DKEIB,DKEIP,ELEXB,ELEXP,ELIMB,ELIMP,ELISB,ELNIB,ELNIP,EMACB,EMCCB,EMFDB,EMICB,EMLCB,EMTCB,ENACP,ENCCP,ENICP,ENPRP,ENTCP,ESACB,ESACP,ESCCB,ESCCP,ESICB,ESICP,ESRCB,ESRCP,ESTCB,ESTCP,ESTXB,ESTXP,FFTCB,FNICB,FNICP,FOICB,FOICP,FSICB,FSICP,GECCB,GEEGB,GEEGP,GEICB,GERCB,GETCB,GETXB,HYCCB,HYCCP,HYEGB,HYEGP,HYICB,HYICP,HYTCB,HYTCP,HYTXB,HYTXP,JFACB,JFACP,JFTCB,JFTCP,JFTXB,JFTXP,JKACB,JKACP,JKTCB,JKTCP,JNACB,JNACP,JNTCB,JNTCP,KSCCB,KSCCP,KSICB,KSICP,KSRCB,KSRCP,KSTCB,KSTCP,KSTXB,KSTXP,LGACB,LGACP,LGCCB,LGCCP,LGICB,LGICP,LGRCB,LGRCP,LGTCB,LGTCP,LGTXB,LGTXP,LOACB,LOCCB,LOICB,LORCB,LOTCB,LOTXB,LUACB,LUACP,LUICB,LUICP,LUTCB,LUTCP,LUTXB,LUTXP,MBICB,MBICP,MGACB,MGACP,MGCCB,MGCCP,MGICB,MGICP,MGTCB,MGTCP,MGTXB,MGTXP,MMTCB,MSICB,MSICP,NAICB,NAICP,NGACB,NGACP,NGCCB,NGCCP,NGEIB,NGEIP,NGICB,NGICP,NGLPB,NGLPP,NGMPB,NGMPP,NGPZB,NGPZP,NGRCB,NGRCP,NGTCB,NGTCP,NGTXB,NGTXP,NGVHB,NGVHP,NNACB,NNCCB,NNEIB,NNICB,NNRCB,NNTCB,NUEGB,NUEGP,NUETB,NUETP,P1ICB,P1ICP,P1TCB,P1TCP,P1TXB,P1TXP,PAACB,PAACP,PACCB,PACCP,PAEIB,PAEIP,PAICB,PAICP,PAPRB,PAPRP,PARCB,PARCP,PATCB,PATCP,PATXB,PATXP,PCCCB,PCCCP,PCEIB,PCEIP,PCICB,PCICP,PCRFB,PCTCB,PCTCP,PLICB,PLICP,PMTCB,POICB,POICP,POTCB,POTCP,POTXB,POTXP,PPICB,PPICP,REPRB,RETCB,RFACB,RFACP,RFCCB,RFCCP,RFEIB,RFEIP,RFICB,RFICP,RFTCB,RFTCP,RFTXB,RFTXP,ROPRB,SGICB,SGICP,SNICB,SNICP,SOCCB,SOCCP,SOEGB,SOEGP,SOICB,SOICP,SORCB,SOTCB,SOTXB,TEACB,TEAPB,TECCB,TECPB,TEEIB,TEICB,TEIPB,TEPRB,TERCB,TERPB,TETCB,TETPB,TETXB,TNACB,TNCCB,TNICB,TNRCB,TNTXB,TPOPP,UOICB,UOICP,USICB,USICP,WDCCB,WDEIB,WDICB,WDRCB,WDRCP,WSCCB,WSEIB,WSICB,WWCCB,WWEIB,WWICB,WWTCB,WWTXB,WXICB,WXICP,WYCCB,WYCCP,WYEGB,WYEGP,WYICB,WYICP,WYTCB,WYTCP,WYTXB,WYTXP
AK,1960,0,0,312,47,312,47,312,47,5209,1032,5209,1032,5209,1032,3681,86,4,496,26,914,52,4980,256,0,0,4980,256,11263,722,714,38,7189,376,6275,325,0,0,3077,528,1562,268,554,95,5115,878,5046,866,15354,2636,14799,2541,554,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,99,155,45,517,151,1011,296,1011,296,54634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3120,290,0,0,3120,290,0,0,10632,1972,10632,1972,10632,1972,1304,230,1304,230,9328,1742,9328,1742,0,0,511,90,0,0,511,90,511,90,0,0,70,18,15,4,91,24,177,46,177,46,0,1207,552,1839,3599,3599,19,3,25,4,43,7,43,7,0,0,8019,1527,683,130,0,0,8702,1657,8702,1657,8702,0,0,0,0,2,2,0,0,0,0,1856,1793,1856,1793,248,246,2,2,176,170,2034,1965,2034,1965,0,0,2,0,0,1856,176,2034,0,0,0,0,848,141,6076,1176,6076,1176,27051,5077,5230,880,576,99,7417,1252,3242,559,5137,890,45411,8197,44835,8099,0,0,0,0,0,0,0,0,0,0,0,45411,0,0,0,0,0,0,0,0,6800,6800,96,15,2915,464,22,3,1438,229,4472,711,4450,708,6800,0,0,0,0,0,0,0,0,0,0,0,0,0,27139,119,7307,32,4610,16800,73,21554,10189,44,61434,268,61434,27139,6099,16248,8349,57836,229,0,0,0,0,34,0,1840,1806,90,0,0,0,34,0,1840,3681,3681,0,0,0,0,0,0,0,0,0,0,0,0
AK,1961,0,0,555,84,555,84,555,84,6441,1276,6441,1276,6441,1276,4145,42,2,496,26,1127,64,9174,473,0,0,9174,473,11497,737,713,38,11552,603,10425,539,0,0,3667,630,1646,283,696,120,5698,978,5316,913,17023,2922,16327,2803,696,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,123,166,49,590,173,1175,344,1175,344,64860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3168,297,0,0,3168,297,0,0,12803,2356,12803,2356,12803,2356,3327,587,3327,587,9476,1770,9476,1770,0,0,185,33,52,9,237,42,237,42,0,0,131,34,11,3,170,44,312,81,312,81,0,1369,542,1927,3837,3837,18,3,24,4,42,7,42,7,0,0,8766,1669,749,143,0,0,9514,1811,9514,1811,9514,0,0,0,0,49,47,122,118,0,0,1934,1869,1934,1869,637,631,49,47,195,188,2300,2222,2300,2222,0,0,49,122,0,1934,195,2300,0,0,0,0,765,120,7276,1408,7276,1408,31804,5951,5304,901,718,123,7645,1287,36697,6327,5538,966,51009,9229,50291,9106,0,0,0,0,0,0,0,0,0,0,0,51009,0,0,0,0,0,0,0,0,7313,7313,109,17,2779,442,21,3,1172,186,4081,649,4059,646,7313,0,0,0,0,0,0,0,0,0,0,0,0,0,31895,134,7744,33,5012,21749,91,56144,10786,45,72174,303,72174,31895,6375,21207,8859,68336,238,0,0,0,0,35,0,2288,1823,91,0,0,0,35,0,2288,4145,4145,0,0,0,0,0,0,0,0,0,0,0,0
AK,1962,0,0,489,74,489,74,489,74,5202,1030,5202,1030,5202,1030,4246,43,2,593,31,1373,78,10696,552,0,0,10696,552,13588,871,854,45,13559,708,12186,630,0,0,3799,652,1732,297,865,148,5422,931,5594,960,17412,2989,16547,2841,865,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509,149,178,52,672,197,1359,398,1359,398,71359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3207,304,0,0,3207,304,0,0,15493,2838,15493,2838,15493,2838,5295,934,5295,934,10198,1904,10198,1904,0,0,119,21,17,3,136,24,136,24,0,0,90,24,7,2,118,31,215,56,215,56,0,1538,537,2032,4107,4107,210,35,18,3,228,38,228,38,0,0,9235,1758,824,157,0,0,10059,1915,10059,1915,10059,0,0,0,0,75,72,19,18,0,0,3399,3284,2056,1986,2205,2184,75,72,556,537,4048,3911,4048,3911,0,0,75,19,0,3399,556,4048,0,0,0,0,626,98,6055,1166,6055,1166,34065,6334,5250,892,886,152,7822,1311,59502,10259,5729,994,53752,9683,52866,9531,0,0,0,0,0,0,0,0,0,0,0,53752,0,0,0,0,0,0,0,0,7453,7453,126,20,2604,414,21,3,1768,281,4519,719,4498,715,7453,0,0,0,0,0,0,0,0,0,0,0,0,0,34182,139,7941,32,5466,25144,102,82748,11546,47,78813,320,78813,34182,6403,24606,9513,74705,246,0,0,0,0,32,0,2511,1703,85,0,0,0,32,0,2511,4246,4246,0,0,0,0,0,0,0,0,0,0,0,0
AK,1963,0,0,589,89,589,89,589,89,3273,648,3273,648,3273,648,4383,36,2,393,21,1482,84,9545,493,0,0,9545,493,13307,853,543,29,11999,628,10516,544,0,0,3339,573,1868,321,959,165,5996,1029,6034,1036,18196,3124,17237,2959,959,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623,183,252,74,774,227,1649,483,1649,483,72995,0,0,0,0,93,16,0,0,0,0,0,0,0,0,0,3410,325,0,0,3410,325,0,0,15800,2895,15800,2895,15800,2895,5344,943,5344,943,10456,1953,10456,1953,0,0,129,23,35,6,164,29,164,29,0,0,131,34,2,0,171,44,303,79,303,79,0,1962,793,2435,5190,5190,210,35,18,3,228,38,228,38,0,0,9496,1808,1033,197,0,0,10529,2004,10529,2004,10529,0,0,0,0,42,42,1632,1614,975,965,2225,2200,2069,2046,4541,4498,42,42,693,685,5567,5506,4591,4541,0,0,42,1632,975,2225,693,5567,0,0,0,0,2374,387,5892,1077,5892,1077,32309,5989,5475,940,971,167,10434,1745,62292,10740,6240,1087,55429,9928,54458,9761,0,0,0,0,0,0,0,0,0,0,0,55429,1639,273,1639,273,1639,273,0,0,7793,7793,190,30,2443,389,13,2,2063,328,4708,749,4696,747,7793,1545,258,0,0,0,0,0,0,0,0,0,0,0,32387,127,10116,40,6839,25950,101,87933,12335,48,80788,316,80788,32387,8154,25156,9900,75597,256,0,0,0,0,31,0,2700,1651,83,0,0,0,31,0,2700,4383,4383,0,0,0,0,0,0,0,0,0,0,0,0
AK,1964,0,0,791,119,791,119,791,119,2319,459,2319,459,2319,459,4728,33,2,306,16,2279,131,8989,465,0,0,8989,465,11622,745,423,22,12029,636,9751,505,0,0,3395,583,2020,347,1460,251,7043,1209,6523,1120,20441,3509,18981,3259,1460,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,703,206,256,75,864,253,1824,535,1824,535,76965,0,0,0,0,91,15,0,0,0,0,0,0,0,0,0,3374,322,0,0,3374,322,0,0,16395,3003,16395,3003,16395,3003,5636,994,5636,994,10759,2009,10759,2009,0,0,0,0,47,8,47,8,47,8,1,0,142,37,0,0,185,48,328,85,328,86,0,2670,972,3280,6922,6922,221,36,18,3,239,39,239,39,0,0,9763,1858,1156,220,0,0,10918,2078,10918,2078,10918,0,0,0,0,0,0,1944,1925,1614,1598,2192,2170,2008,1988,6332,6272,0,0,1055,1045,6805,6738,5191,5140,0,0,0,1944,1614,2192,1055,6805,0,0,0,0,2451,396,5038,900,5038,900,32213,5960,7242,1228,1479,254,10440,1755,64142,11059,6756,1177,58130,10373,56651,10119,0,0,0,0,0,0,0,0,0,0,0,58130,1641,273,1641,273,1641,273,0,0,8102,8102,119,19,3925,624,19,3,947,151,5010,797,4990,794,8102,1550,258,0,0,0,0,0,0,0,0,0,0,0,32246,123,12898,49,8746,25841,98,90198,14081,54,85067,323,85067,32246,10228,24870,10801,78145,263,0,0,0,0,32,0,2993,1703,85,0,0,0,32,0,2993,4728,4728,0,0,0,0,0,0,0,0,0,0,0,0
AK,1965,0,0,878,132,878,132,878,132,1478,293,1478,293,1478,293,4863,21,1,280,15,2690,151,6526,339,0,0,6526,339,13931,893,371,20,9888,525,7199,375,0,0,4598,789,2001,344,1794,308,7211,1238,6463,1110,22066,3788,20273,3480,1794,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,912,267,200,59,996,292,2107,618,2107,618,79263,0,0,0,0,105,18,0,0,0,0,0,0,0,0,0,3655,350,0,0,3655,350,0,0,16517,3005,16517,3005,16517,3005,7643,1348,7643,1348,8875,1657,8875,1657,0,0,0,0,57,10,57,10,57,10,1,0,151,39,1,0,197,51,349,91,349,91,0,3559,780,3886,8225,8225,245,40,6,1,251,41,251,41,0,0,11100,2113,1331,253,436,83,12868,2450,12868,2450,12868,0,0,0,0,0,0,2293,2270,2170,2149,1755,1738,1694,1677,7324,7255,0,0,1451,1437,7670,7594,5500,5445,0,0,0,2293,2170,1755,1451,7670,0,0,0,0,2585,417,4365,760,4365,760,34357,6307,8202,1387,1817,312,10612,1798,64542,11128,6716,1171,61705,10975,59887,10663,0,0,0,0,0,0,0,0,0,0,0,61705,1702,284,1702,284,1702,284,0,0,8519,8519,418,66,4719,751,24,4,379,60,5539,881,5515,877,8519,1596,266,0,0,0,0,0,0,0,0,0,0,0,34379,127,15275,56,10333,23107,85,94316,15020,55,87781,324,87781,34379,11716,22327,11134,79556,271,0,0,0,0,30,0,3234,1600,80,0,0,0,30,0,3234,4863,4863,0,0,0,0,0,0,0,0,0,0,0,0
AK,1966,0,0,1646,248,1646,248,1646,248,1086,215,1086,215,1086,215,5035,38,2,353,19,2710,153,12860,672,0,0,12860,672,14461,927,468,25,16431,872,13720,718,0,0,4842,831,2177,374,1757,302,7999,1373,7031,1207,23805,4087,22048,3785,1757,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1031,302,214,63,1120,328,2365,693,2365,693,94370,0,0,0,0,116,19,0,0,0,0,0,0,0,0,0,3293,316,0,0,3293,316,0,0,20621,3733,20621,3733,20621,3733,11400,2011,11400,2011,9222,1722,9222,1722,0,0,0,0,46,8,46,8,46,8,1,0,150,39,34,8,196,51,380,98,380,98,0,4042,840,4391,9273,9273,255,42,6,1,261,43,261,43,0,0,9103,1733,401,76,553,105,10057,1915,10057,1915,10057,0,0,0,0,0,0,2562,2562,3856,3856,4070,4070,1498,1498,11374,11267,0,0,1794,1794,12282,12282,8426,8426,0,0,0,2562,3856,4070,1794,12282,0,0,0,0,3329,529,4716,794,4716,794,36195,6600,8012,1330,1780,305,12398,2092,83276,14358,7272,1266,65658,11593,63878,11288,0,0,0,0,0,0,0,0,0,0,0,65658,1677,280,1677,280,1677,280,0,0,8328,8328,287,46,5285,841,23,4,483,77,6078,967,6055,963,8328,1561,260,0,0,0,0,0,0,0,0,0,0,0,36233,134,16031,59,11638,33823,125,117440,16611,61,102698,379,102698,36233,11989,32983,12220,93425,271,0,0,0,0,30,0,3440,1565,78,0,0,0,30,0,3440,5035,5035,0,0,0,0,0,0,0,0,0,0,0,0
AK,1967,0,0,832,125,832,125,832,125,3538,701,3538,701,3538,701,4671,37,2,322,17,2335,134,15341,808,0,0,15341,808,14430,925,427,23,18462,984,16128,850,0,0,5001,858,2354,404,2010,345,8969,1540,7605,1306,25940,4453,23929,4108,2010,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1132,332,214,63,1187,348,2533,742,2533,742,106714,0,0,0,0,102,17,0,0,0,0,0,0,0,0,0,3786,363,0,0,3786,363,0,0,25272,4562,25272,4562,25272,4562,15151,2672,15151,2672,10121,1890,10121,1890,0,0,0,0,40,7,40,7,40,7,1,0,175,46,2,1,228,59,406,106,406,106,0,4516,855,4735,10106,10106,236,39,0,0,236,39,236,39,0,0,9504,1809,3263,621,1314,250,14082,2681,14082,2681,14082,0,0,0,0,0,0,2722,2722,4481,4481,2728,2728,1659,1659,14575,14438,0,0,1958,1958,11889,11889,7408,7408,0,0,0,2722,4481,2728,1958,11889,0,0,0,0,2439,393,6252,1140,6252,1140,43825,8013,9436,1651,2037,349,13193,2258,168931,29126,7872,1372,76363,13643,74326,13294,0,0,0,0,0,0,0,0,0,0,0,76363,1606,268,1606,268,1606,268,0,0,8457,8457,273,43,3644,580,26,4,469,75,4412,702,4386,698,8457,1504,251,0,0,0,0,0,0,0,0,0,0,0,43862,158,18156,65,12639,35548,128,206393,17606,63,115172,414,115172,43862,13640,34693,12872,105066,278,0,0,0,0,27,0,3216,1428,71,0,0,0,27,0,3216,4671,4671,0,0,0,0,0,0,0,0,0,0,0,0
AK,1968,0,0,755,114,755,114,755,114,3548,703,3548,703,3548,703,4705,28,1,270,14,2564,149,12791,674,0,0,12791,674,11700,750,344,18,15998,857,13433,708,0,0,5441,934,2574,442,2305,396,10352,1777,8315,1427,28987,4976,26682,4581,2305,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1293,379,229,67,1341,393,2863,839,2863,839,114046,0,0,0,0,102,17,0,0,0,0,0,0,0,0,0,3781,364,0,0,3781,364,0,0,28350,5119,28350,5119,28350,5119,16863,2974,16863,2974,11487,2145,11487,2145,0,0,6,1,45,8,51,9,51,9,0,0,185,48,1,0,241,63,426,111,426,111,0,5201,921,5392,11515,11515,259,43,0,0,259,43,259,43,0,0,9272,1765,1467,279,843,160,11582,2205,11582,2205,11582,0,0,0,0,0,0,4737,4713,5697,5668,4898,4874,2251,2240,17508,17343,0,0,2304,2293,17636,17548,11939,11880,0,0,0,4737,5697,4898,2304,17636,0,0,0,0,2415,391,6267,1144,6267,1144,47150,8608,7935,1359,2335,400,14392,2453,383983,66204,8601,1498,80412,14319,78077,13918,0,0,0,0,0,0,0,0,0,0,0,80412,1655,276,1655,276,1655,276,0,0,8486,8486,279,44,3709,590,30,5,781,124,4799,763,4769,759,8486,1553,259,0,0,0,0,0,0,0,0,0,0,0,47177,166,19463,68,14377,36499,128,421678,19393,68,122532,430,122532,47177,14262,35578,14000,111018,285,0,0,0,0,27,0,3268,1410,71,0,0,0,27,0,3268,4705,4705,0,0,0,0,0,0,0,0,0,0,0,0
AK,1969,0,0,969,146,969,146,969,146,3467,687,3467,687,3467,687,4893,16,1,261,14,2781,163,9800,523,0,0,9800,523,10405,667,333,18,13191,719,10410,556,0,0,4738,813,2417,415,2468,424,10829,1859,7808,1340,28259,4851,25792,4428,2468,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1424,417,258,76,1519,445,3201,938,3201,938,148179,0,0,0,0,187,31,0,0,0,0,0,0,0,0,0,3562,341,0,0,3562,341,0,0,36471,6534,36471,6534,36471,6534,26624,4696,26624,4696,9846,1839,9846,1839,0,0,6,1,34,6,40,7,40,7,1,0,137,36,156,41,178,46,472,124,472,124,0,5503,996,5873,12371,12371,354,58,5,1,359,59,359,59,0,0,10705,2038,1050,200,860,164,12615,2401,12615,2401,12615,0,0,0,0,0,0,11073,11018,6730,6696,20541,20439,6898,6864,51347,50864,0,0,4596,4573,42940,42726,36210,36030,0,0,0,11073,6730,20541,4596,42940,0,0,0,0,4162,678,8018,1430,8018,1430,56501,10253,8769,1472,2500,429,16258,2782,428927,73953,8020,1393,92048,16329,89548,15900,0,0,0,0,0,0,0,0,0,0,0,92048,3183,530,3183,530,3183,530,0,0,8455,8455,765,122,5165,822,32,5,251,40,6214,988,6181,983,8455,2996,499,0,0,0,0,0,0,0,0,0,0,0,56517,191,27055,91,15572,51379,174,499135,21682,73,156633,529,156633,56517,21553,50383,15810,144262,296,0,0,0,0,25,0,3526,1342,67,0,0,0,25,0,3526,4893,4893,0,0,0,0,0,0,0,0,0,0,0,0
