MSN,StateCode,Year,Data
ABICB,US,1960,0
ABICB,US,1961,0
ABICB,US,1962,0
ABICB,US,1963,0
ABICB,US,1964,0
ABICB,US,1965,0
ABICB,US,1966,0
ABICB,US,1967,0
ABICB,US,1968,0
ABICB,US,1969,0
ABICB,US,1970,0
ABICB,US,1971,0
ABICB,US,1972,0
ABICB,US,1973,0
ABICB,US,1974,0
ABICB,US,1975,0
ABICB,US,1976,0
ABICB,US,1977,0
ABICB,US,1978,0
ABICB,US,1979,0
ABICB,US,1980,0
ABICB,US,1981,5169
ABICB,US,1982,4937
ABICB,US,1983,712
ABICB,US,1984,86
ABICB,US,1985,3867
ABICB,US,1986,545
ABICB,US,1987,45
ABICB,US,1988,-1070
ABICB,US,1989,106
ABICB,US,1990,237
ABICB,US,1991,-81
ABICB,US,1992,156
ABICB,US,1993,146
ABICB,US,1994,6098
ABICB,US,1995,5290
ABICB,US,1996,6951
ABICB,US,1997,9056
ABICB,US,1998,4003
ABICB,US,1999,6396
ABICB,US,2000,3816
ABICB,US,2001,6073
ABICB,US,2002,7516
ABICB,US,2003,7471
ABICB,US,2004,10616
ABICB,US,2005,8324
ABICB,US,2006,641
ABICB,US,2007,1782
ABICB,US,2008,96
ABICB,US,2009,-793
ABICB,US,2010,-242
ABICB,US,2011,10
ABICB,US,2012,-5
ABICB,US,2013,-379
ABICB,US,2014,-141
ABICB,US,2015,-348
ABICP,US,1960,0
ABICP,US,1961,0
ABICP,US,1962,0
ABICP,US,1963,0
ABICP,US,1964,0
ABICP,US,1965,0
ABICP,US,1966,0
ABICP,US,1967,0
ABICP,US,1968,0
ABICP,US,1969,0
ABICP,US,1970,0
ABICP,US,1971,0
ABICP,US,1972,0
ABICP,US,1973,0
ABICP,US,1974,0
ABICP,US,1975,0
ABICP,US,1976,0
ABICP,US,1977,0
ABICP,US,1978,0
ABICP,US,1979,0
ABICP,US,1980,0
ABICP,US,1981,1024
ABICP,US,1982,978
ABICP,US,1983,141
ABICP,US,1984,17
ABICP,US,1985,766
ABICP,US,1986,108
ABICP,US,1987,9
ABICP,US,1988,-212
ABICP,US,1989,21
ABICP,US,1990,47
ABICP,US,1991,-16
ABICP,US,1992,31
ABICP,US,1993,29
ABICP,US,1994,1208
ABICP,US,1995,1048
ABICP,US,1996,1377
ABICP,US,1997,1794
ABICP,US,1998,793
ABICP,US,1999,1267
ABICP,US,2000,756
ABICP,US,2001,1203
ABICP,US,2002,1489
ABICP,US,2003,1480
ABICP,US,2004,2103
ABICP,US,2005,1649
ABICP,US,2006,127
ABICP,US,2007,353
ABICP,US,2008,19
ABICP,US,2009,-157
ABICP,US,2010,-48
ABICP,US,2011,2
ABICP,US,2012,-1
ABICP,US,2013,-75
ABICP,US,2014,-28
ABICP,US,2015,-69
ARICB,US,1960,733782
ARICB,US,1961,753551
ARICB,US,1962,803533
ARICB,US,1963,824642
ARICB,US,1964,840781
ARICB,US,1965,890266
ARICB,US,1966,935557
ARICB,US,1967,917215
ARICB,US,1968,983661
ARICB,US,1969,1008977
ARICB,US,1970,1082451
ARICB,US,1971,1108298
ARICB,US,1972,1136919
ARICB,US,1973,1263720
ARICB,US,1974,1165375
ARICB,US,1975,1014226
ARICB,US,1976,998121
